t,iteration,max_v,mean_v,n_fast,a_marangoni,a_drag,a_pressure,a_flag,a_total,min_cs,max_cs,mean_cs,constrast_cs,min_c_n,max_c_n,mean_c_n,contrast_c_n,mass_total
92.7002,34400,0.098604,0.000657,0,6.5213,6.7569,3.3318,2.9986,6.6690,0.0000,7.4058,0.0767,96.5125,0.0000,0.9606,0.7800,1.2316,4.038309e+02
93.4785,34600,0.113055,0.000617,1,8.7111,7.1578,3.0141,3.0000,5.3023,0.0000,6.8884,0.0745,92.4530,0.0000,0.9591,0.7779,1.2329,4.178793e+02
94.1587,34800,0.051437,0.000570,0,5.2616,5.2595,2.9982,2.9997,4.3322,0.0000,6.6706,0.0716,93.1104,0.0000,0.9578,0.7762,1.2340,4.306663e+02
94.8811,35000,0.069633,0.000626,0,5.0038,5.8762,4.5522,2.9997,10.4155,0.0000,6.2792,0.0704,89.2044,0.0000,0.9562,0.7743,1.2349,4.446956e+02
95.6401,35200,0.067708,0.000663,0,5.0027,4.6002,3.4872,2.9771,5.8407,0.0000,5.8615,0.0718,81.5912,0.0000,0.9555,0.7724,1.2371,4.598675e+02
96.1994,35400,0.186327,0.000665,1,13.7271,12.6038,3.2863,2.9868,9.1956,0.0000,5.6541,0.0726,77.8714,0.0000,0.9551,0.7710,1.2387,4.714323e+02
96.5249,35600,0.110224,0.000692,2,9.3081,6.6341,3.0961,2.9967,10.5439,0.0000,5.4673,0.0733,74.5559,0.0000,0.9548,0.7702,1.2397,4.783180e+02
96.9186,35800,0.216795,0.000768,3,15.0133,13.0560,3.6622,3.0000,14.6458,0.0000,5.3125,0.0751,70.7428,0.0000,0.9545,0.7692,1.2409,4.867816e+02
97.5862,36000,0.072117,0.000647,0,9.2968,8.3900,3.4144,2.9998,7.8522,0.0000,5.0476,0.0751,67.2453,0.0000,0.9540,0.7676,1.2429,5.015363e+02
98.0533,36200,0.075869,0.000652,0,8.5412,7.7730,3.0793,2.9908,5.0581,0.0000,4.8052,0.0749,64.1408,0.0000,0.9536,0.7664,1.2442,5.121540e+02
98.4226,36400,0.046601,0.000607,0,4.7060,3.5224,3.2363,2.9742,4.7111,0.0000,4.7190,0.0741,63.6560,0.0000,0.9533,0.7655,1.2453,5.206528e+02
98.9852,36600,0.078442,0.000611,0,6.0744,4.8093,3.4343,2.9887,5.6269,0.0000,4.5023,0.0729,61.7273,0.0000,0.9528,0.7641,1.2471,5.341863e+02
99.5230,36800,0.056923,0.000630,0,19.1732,3.8679,3.3352,2.9999,18.8977,0.0000,4.6430,0.0731,63.4955,0.0000,0.9524,0.7627,1.2487,5.470193e+02
